,alx,aly,alz,glx,gly,glz,arx,ary,arz,grx,gry,grz,Activity,subject
253440,-6.516,-1.1278,-7.8299,0.53432,-0.7561,0.21611,5.1772,-4.9492,-0.92455,-0.29216,0.11499,1.0927,10,subject2
253441,1.0477,-10.694,-10.003,0.53432,-0.7561,0.21611,4.1017,-5.4989,0.11047,-0.31176,0.069815,1.1056,10,subject2
253442,3.9749,-15.454,-8.785,0.53432,-0.7561,0.21611,2.5552,-5.5366,-0.66225,-0.31176,0.069815,1.1056,10,subject2
253443,1.2121,-15.782,-8.8603,0.53432,-0.7955,0.066798,-2.2616,-6.5742,1.5775,-0.31176,0.069815,1.1056,10,subject2
253444,1.8061,-19.329,-8.1046,0.53432,-0.7955,0.066798,-14.284,-12.939,4.1031,-0.34902,0.0020534,1.0884,10,subject2
253445,2.8755,-19.31,-7.2701,0.53432,-0.7955,0.066798,-21.447,-18.649,9.1301,-0.34902,0.0020534,1.0884,10,subject2
253446,-1.7567,-19.288,-2.0966,0.53432,-0.7955,0.066798,-21.514,-18.63,10.996,-0.34902,0.0020534,1.0884,10,subject2
253447,-2.7575,-19.167,4.0661,0.53061,-0.8086300000000001,-0.02947,-21.568,-7.9742,9.5805,-0.34902,0.0020534,1.0884,10,subject2
253448,1.1172,-16.95,5.997000000000001,0.53061,-0.8086300000000001,-0.02947,-18.607,-2.6121,8.7861,-0.46275,-0.078029,1.0582,10,subject2
253449,4.6033,-14.244000000000002,6.2922,0.53061,-0.8086300000000001,-0.02947,-15.536,0.29754,8.7545,-0.46275,-0.078029,1.0582,10,subject2
253450,8.3284,-10.603,8.9698,0.4638199999999999,-0.8630399999999999,-0.12967,-11.751,2.4722,7.2174,-0.46275,-0.078029,1.0582,10,subject2
253451,8.9857,-7.1312,4.702,0.4638199999999999,-0.8630399999999999,-0.12967,-8.8726,2.6753,5.5296,-0.6098,-0.016427,0.99138,10,subject2
253452,6.6514,-9.7981,5.337000000000001,0.4638199999999999,-0.8630399999999999,-0.12967,-5.2620000000000005,3.4658,4.5795,-0.6098,-0.016427,0.99138,10,subject2
253453,2.3034,-12.009,4.0476,0.4638199999999999,-0.8630399999999999,-0.12967,-3.9121,4.7714,4.1448,-0.6098,-0.016427,0.99138,10,subject2
253454,-1.3852,-14.722,10.021,0.4192899999999999,-0.86116,-0.27701,-1.9179,5.1422,3.2154,-0.6098,-0.016427,0.99138,10,subject2
253455,2.439,-12.684,9.786,0.4192899999999999,-0.86116,-0.27701,-1.0936,5.3434,2.3401,-0.65294,0.096509,0.93103,10,subject2
253456,0.3865699999999999,-13.547,5.7224,0.4192899999999999,-0.86116,-0.27701,0.062478,7.1487,1.8679,-0.65294,0.096509,0.93103,10,subject2
253457,2.8615,-19.211,1.6305,0.36549,-0.79925,-0.56385,1.2938,7.5469,1.6898,-0.65294,0.096509,0.93103,10,subject2
253458,11.663,-16.997,-2.6916,0.36549,-0.79925,-0.56385,1.571,7.086,1.6043,-0.61961,0.20739,0.93319,10,subject2
253459,4.1946,-10.937,-0.66117,0.36549,-0.79925,-0.56385,1.3079,6.3196,0.96181,-0.61961,0.20739,0.93319,10,subject2
253460,2.7558,-11.167,0.12545,0.36549,-0.79925,-0.56385,1.1124,6.1255,1.5459,-0.61961,0.20739,0.93319,10,subject2
253461,3.6494,-9.2531,-4.5199,0.29128,-0.7636,-0.66798,-1.3339,6.6192,1.9247,-0.61961,0.20739,0.93319,10,subject2
253462,4.9258,-8.083,-6.3236,0.29128,-0.7636,-0.66798,-10.078,7.3915,4.1508,-0.55294,0.3039,0.93319,10,subject2
253463,5.7272,-7.2676,-5.9728,0.29128,-0.7636,-0.66798,-21.762,6.8012,12.121,-0.55294,0.3039,0.93319,10,subject2
253464,1.5868,-7.5947,-4.0201,0.33581,-0.8442799999999999,-0.49116,-21.871,0.37571,16.570999999999998,-0.55294,0.3039,0.93319,10,subject2
253465,2.7197,-10.345,-6.74,0.33581,-0.8442799999999999,-0.49116,-21.539,-15.183,11.678,-0.34902,0.24641,1.0841,10,subject2
253466,-2.0212,-12.491,-8.4885,0.33581,-0.8442799999999999,-0.49116,-21.463,-18.534,10.615,-0.34902,0.24641,1.0841,10,subject2
253467,3.8799,-12.509,-12.274,0.43599,-0.8874299999999999,-0.047151,-21.556,-8.6624,10.765,-0.34902,0.24641,1.0841,10,subject2
253468,1.6656,-11.791,-17.677,0.43599,-0.8874299999999999,-0.047151,-19.935,-7.0649,8.5113,-0.34902,0.24641,1.0841,10,subject2
253469,-3.0237,-10.277,-18.773,0.43599,-0.8874299999999999,-0.047151,-10.5,-8.0931,3.6891,-0.3039199999999999,0.26899,1.0754,10,subject2
253470,0.7699699999999999,-14.268,-18.904,0.43599,-0.8874299999999999,-0.047151,-3.7807,-6.1925,1.7529,-0.3039199999999999,0.26899,1.0754,10,subject2
253471,3.7487,-11.999,-18.76,0.4341399999999999,-0.69794,0.47741,-0.5634399999999999,-4.2115,1.8519,-0.3039199999999999,0.26899,1.0754,10,subject2
253472,0.5749,-3.4914,-18.45,0.4341399999999999,-0.69794,0.47741,0.64965,-2.279,1.1048,-0.23529,0.24025,1.1099,10,subject2
253473,-0.44263,0.48065,-18.272,0.4341399999999999,-0.69794,0.47741,1.2761,-1.2944,0.56028,-0.23529,0.24025,1.1099,10,subject2
253474,-4.6871,-0.64874,-18.34,0.50093,-0.57599,0.53438,2.8456,-1.0284,0.15691,-0.23529,0.24025,1.1099,10,subject2
253475,0.34769,-3.1742,-18.405,0.50093,-0.57599,0.53438,4.4706,-1.3059,-0.58613,-0.23529,0.24025,1.1099,10,subject2
253476,19.607,-10.145,-6.582000000000001,0.50093,-0.57599,0.53438,4.5565,-3.2015,-1.1497,-0.27451,0.15606,1.0991,10,subject2
253477,-21.502,-19.347,3.9426,0.50093,-0.57599,0.53438,4.831,-3.6183,-1.8267,-0.27451,0.15606,1.0991,10,subject2
253478,12.275,15.192,-13.461,0.4638199999999999,-0.66979,0.48134,4.5553,-2.2775,-0.74929,-0.27451,0.15606,1.0991,10,subject2
253479,13.893,-0.078833,-12.834,0.4638199999999999,-0.66979,0.48134,3.3874,-2.6237,-0.37077,-0.27843,0.098563,1.1078,10,subject2
253480,4.7148,-10.36,-9.2834,0.4638199999999999,-0.66979,0.48134,3.0078,-3.0956,0.4389699999999999,-0.27843,0.098563,1.1078,10,subject2
253481,4.1443,-8.7406,-12.677,0.56215,-0.77861,0.1277,2.3057,-3.2145,0.54761,-0.27843,0.098563,1.1078,10,subject2
253482,4.2621,-15.093,-10.316,0.56215,-0.77861,0.1277,-2.2825,-4.1321,2.7934,-0.27843,0.098563,1.1078,10,subject2
253483,4.5473,-17.343,-9.5508,0.56215,-0.77861,0.1277,-16.085,-9.241,8.9025,-0.30196,0.059548,1.125,10,subject2
253484,2.8786,-19.318,-9.01,0.56957,-0.79174,-0.0019646,-21.597,-18.596,13.424,-0.30196,0.059548,1.125,10,subject2
253485,-1.7128,-19.326,-5.9105,0.56957,-0.79174,-0.0019646,-21.623,-18.59,13.966,-0.30196,0.059548,1.125,10,subject2
253486,-3.5355,-19.261,-0.36299,0.56957,-0.79174,-0.0019646,-21.608,-9.9078,12.223,-0.35098,-0.047228,1.1099,10,subject2
